ID,英文詞彙,中文詞彙,中國大陸譯名,更新日期
21365778,Commonwealth of Independent States,獨立國協,独联体,
21365779,Commonwealth of Nations,大英國協；不列顛國協,英联邦,
21365780,commuter,通勤生,走读生 ；通学生,
21365781,compact disc,雷射唱片,激光唱片,
21365782,compact disc {=CD},碟片；光碟,碟片；光盘,
21365783,compact disc player,雷射唱機,激光唱机,
21365784,compiler,編譯器；編譯程式,编译器；编译程序,
21365785,complex conjugate,共軛複數,共轭复数；复共轭的,
21365786,compulsory insurance,強制保險,强制保险；法定保险,
21365787,computed tomographic scan,斷層掃描；電腦斷層攝影,断层扫描；计算机断层扫描；计算机层析成像,
21365788,computer,電腦,電腦；計算機,
21365789,computer assisted instruction{=CAI},電腦輔助教學,电脑辅助教学；计算机辅助教学,
21365790,computer crime,電腦犯罪,电脑犯罪；计算机犯罪,
21365791,computer game,電玩軟體,电玩软件,
21365792,computer music,電腦音樂,计算机音乐,
21365793,computer network,電腦網路,计算机网络,
21365794,computer program,電腦程式,软件程序；计算机程序,
21365795,computer speech recognition,電腦語音處理,电脑语音处理；计算机语音处理,
21365796,computer virus,電腦病毒,电脑病毒；计算机病毒,
21365798,connect,連線,连线,
21365799,consulting room,診療室,诊疗室；诊室,
21365800,Consumer protection Committee,消費者保護協會；消保會,消协,
21365801,contact book,聯絡簿,联系本,
21365802,container,貨櫃,货柜；集装箱,
21365803,continue to flourish,長紅；滿堂紅,长红；飘红,
21365804,continuing contract,續聘,续聘；连聘,
21365805,contortion,軟骨功,软骨功；柔身术,
21365806,contraceptive,避孕器,避孕器；节育器,
21365807,contract farming,契約農業,契约农业；订单农业,
21365808,contract labor,契約工,合同工,
21365809,convergent thinking,聚斂性思考,辐合思维；聚合思维,
21365810,cookbook,食譜,食谱；菜谱,
21365811,cookie,零食；零嘴,零食；零嘴；零嘴儿；零吃,
21365812,coolant,冷媒；冷卻劑；致冷劑,冷媒；冷却剂；致冷剂；雪种；制冷剂,
21365813,cooperative education,建教合作,厂校挂钩,
21365814,copier,複印機；影印機,复印机,
21365815,cordless mouse,無線滑鼠,无线鼠标,
21365816,cornstarch,(玉米)太白粉,生粉,
21365817,correction fluid,修正液；立可白,修正液 ；涂改液,
21365818,corvette,護衛艦；護航艦,护卫舰,
21365819,Coryphaena hippurus,鯕鰍；飛魚虎；鬼頭刀,鲯鳅,
21365820,cotton wool,藥用棉,药用棉；卫生棉,
21365821,count down,倒數,倒读数,
21365822,countdown,倒數計時,倒计时,
21365823,counter,櫃檯,柜台；前台,
21365824,counter tide,返潮,回潮；返潮,
21365825,courseware,教學軟體,课件,
21365826,cover,封面；外胎,封面；封一；外胎；外带,
21365827,crackdown on gangs,掃黑,扫黑；打黑,
21365828,cracker,蘇打餅；蘇打餅乾,梳打饼；苏打饼；苏打饼干；克力架,
21365829,crafts,勞作,劳作；劳技,
21365830,crambe,甘藍；甘藍菜；包心菜；高麗菜,甘蓝；甘蓝菜；包心菜；卷心菜；洋白菜 ；结球甘蓝；圆白菜；莲花白,
21365831,crash,當機,死机,
21365832,creamer,奶精,奶精；咖啡伴侣,
21365833,criminal investigation,刑事偵查,刑事侦查；刑侦,
21365834,crocs,洞洞鞋；布希鞋,花园鞋；洞洞鞋,
21365835,crop sotation,輪作；輪栽；輪種,轮作；轮栽；轮种；倒茬,
21365836,cropped top,露臍裝,露脐装；脐装,
21365837,croquet,槌球,门球,
21365838,crosswalk,斑馬線,斑马线；人行横道,
21365839,crown block,天車,天车；行车,
21365840,CRT(Cathode Ray Tube),映像管,顯像管,
21365841,cruise missile,巡弋飛彈,巡航飞弹,
21365842,cubic meter,立方米；立方公尺,立方米；立方公尺；立方,
21365843,cured pork,醃肉；鹹肉,腌肉；咸肉；盐肉；渍肉,
21365844,curry,咖哩,咖喱,
21365845,cursor,游標,游标；光标,
21365846,cushion shoe,減震鞋；避震鞋,减震鞋,
21365847,cut in line,插隊,插队；加塞儿,
21365848,cutlery,刀具,刀具；刃具,
21365849,cutout animation,剪紙動畫,剪纸动画；剪纸片；剪纸影片,
21365850,cybersquatter,網路蟑螂,玉米虫；网络蟑螂,
21365851,dairy cattle,乳牛,乳牛；奶牛,
21365852,dairy goat,乳羊,乳羊；奶羊,
21365853,data,資料,數據,
21365854,data bus,資料匯流排,数据总线,
21365855,data mining,資料探勘,数据采掘；数据挖掘,
21365856,database,資料庫,數據庫,
21365857,De Morgan law,笛摩根法則,德摩根法则,
21365858,debris flow,土石流,泥石流,
21365859,debug,除錯,調試,
21365860,decimeter,公寸,公寸；分米,
21365861,decoctions,湯劑；湯藥；煎劑,汤剂；汤药；煎剂；水剂,
21365862,decoder,解碼器,解码器；破码器,
21365863,deep throat,深喉嚨,深喉,
21365864,defective product,瑕疵品,残品 ；残次品,
21365865,deoxyribonuclease {= DNase},去氧核糖核酸水解酶,脱氧核糖核酸水解酶,
21365866,deoxyribonucleic acid{=DNA},去氧核糖核酸,脱氧核糖核酸,
21365867,deoxyribose,去氧核糖,脱氧核糖,
21365868,deposit,訂金,定钱,
21365869,deposit money,通儲,通存,
21365870,dermatitis,皮膚炎,皮炎,
21365871,desktop computer,桌機；桌上型電腦,桌机；桌面电脑；桌上型电脑；台式机 ；台式电脑,
21365872,detention center,看守所,看守所；收容所,
21365873,developed country,先進國家；開發國家；已開發國家,先进国家；发达国家,
21365874,developing country,開發中國家,发展中国家；欠发达国家,
21365875,diaper,尿布；紙尿褲,尿片；尿布；褯子；纸尿裤；尿不湿,
21365876,diatom,矽藻,硅藻,
21365877,difference set,差集,补集,
21365878,digital camera,數位相機；數位照相機,数字相机 ；数码相机；数码照相机,
21365879,digital library{=DL},數位圖書館,数字图书馆,
21365880,digital transmission,數位傳輸,数字通信；数码通信,
21365881,digitization,數位化,数字化,
21365882,DINK(Double Income No Kids),頂客族,丁克族；丁客族,
21365883,dioxin,戴奧辛,二噁英,
21365884,dip coating,浸塗,涂渍,
21365885,directional selection,定向天擇,定向选择,
21365886,disability,身心障礙,残疾人,
21365887,disc,磁碟,磁盘,
21365888,disco,迪斯可,的士高；迪斯科,
21365889,disguised unemployment,隱性失業,隐性失业；隐藏性失业；亚失业,
21365890,disk,光碟,光盤,
21365891,disk operating system{=DOS},磁碟作業系統,磁盘操作系统,
21365892,diskette,磁碟磁片,軟盤,
21365893,disney,迪士尼,迪士尼；迪斯尼,
21365894,display card,顯卡；顯示卡,显卡；显示卡；显示器适配卡,
21365895,disposable chopsticks,衛生筷；免洗筷,卫生筷；一次性筷子,
21365896,disposable glass,免洗杯,一次性杯子,
21365897,distance learning,遠距教學,远距离教学,
21365898,distributed network,分散式網路,分散式网络,
21365899,disulfide,二硫化物,二硫化物；二硫化合物,
21365900,ditital television,數位電視,数字电视 ；数码电视,
21365901,dollar movies,二輪片；二輪電影,二轮片；二轮电影；复映片,
21365902,Dolly the Sheep,桃莉羊,多莉羊,
21365903,domicile registration,設籍,落户,
21365904,donate blood,捐血,捐血；献血；无偿献血,
21365905,donburi,蓋飯,盖饭；盖浇饭,
21365907,dopamine,多巴胺,多巴胺；羟酪胺,
21365908,double career family,雙薪家庭,双职工家庭,
21365909,Double Income No Kids,頂客族,丁克家庭,
21365910,double room,雙人房,双人房；标间；双人间；标准间,
21365911,double sink washing machine,雙槽洗衣機,双缸洗衣机；双桶洗衣机,
21365913,double-deck bus,雙層公車,双层公交车,
21365914,down jacket,羽絨衣；羽絨服,羽绒衣 ；羽绒服,
21365915,Down payment,頭期款,头期款；首付,
21365916,draft beer,生啤；生啤酒,生啤；鲜啤；生啤酒；鲜啤酒；扎啤,
21365917,dragon dance,舞龍,舞龙；玩龙灯,
21365918,draw machine,開獎機,开奖机；顶球机,
21365919,dressing table,梳妝臺,梳妆台；梳理台,
21365920,dried flowers,乾燥花,干花,
21365921,drip,點滴,点滴；吊瓶,
21365922,driver,驅動程式,驱动程序,
21365923,driving school,駕訓班；汽車駕駛訓練班,驾校,
21365924,drug abuser treatment center,勒戒所；煙毒勒戒所,戒毒所；戒毒中心,
21365925,drug resistance,抗藥性,抗药性；耐药性,
21365926,DSLR(Digital Single Lens Reflex Camera),數位單眼相機,數碼單反相機,
21365927,dubbing,配音；伴音,配音；伴音；伴声,
21365928,dump truck,砂石車,砂石车；泥头车；渣土车,
21365929,dune,沙丘,沙丘；沙包,
21365930,dustless chalk,無灰粉筆,无尘粉笔,
21365931,DVD player,影碟機,影碟机；碟机；视盘机,
21365932,ear piercing,耳洞,耳洞；耳朵眼儿,
21365933,early childhood education,早期教育,早期教育；早教,
21365934,earthquake intensity,震度；地震強度,烈度 ；地震烈度,
21365935,earthquake magnitude,地震等級；地震規模,地震等级；震级；地震震级,
21365936,easy open can,易開罐,易拉罐,
21365937,ecological group,生態群；生物群集；生物群聚,生态群,
21365938,Eid al-Adha,宰牲節；犧牲節；古爾邦節,宰牲节；牺牲节；古尔邦节；尔德节,
21365939,El Nino,聖嬰；聖嬰現象,圣婴；艾尼纽；圣婴现象；厄尔尼诺；厄尔尼诺现象,
21365940,electric furnace,電爐,电炉；电灶,
21365941,electric kettle,電熱壺；電熱水壺；快煮壺,电热壶；电热水壶,
21365942,electric mail,電子郵件,电邮；伊妹儿；电子邮件；电子函件,
21365943,electric razor,電鬍刀；電動刮鬍刀,电胡刀 ；电动剃须刀,
21365944,electroencephalogram,腦電圖；腦波圖,脑电图,
21365945,electrolyzer,電解槽,电解池,
21365946,electromagnetic induction lamps,電磁感應燈,电磁感应灯；无极灯,
21365947,electronic commerce,電子商務,电子商务；电商,
21365948,electronic dictionary,電子字典,电子字典；计算机字典；电脑辞典；计算机辞典,
21365949,electronic file,電子檔,电子檔；电子文檔,
21365950,electronic game,電子遊戲,电子游戏；电游,
21365951,electronic information,電子資訊,电子信息,
21365952,electronic jammer,電子遮蔽器,屏蔽仪,
21365953,electronic publication,電子出版品,电子出版物,
21365954,electrophoresis chip,電泳晶片,电泳芯片,
21365955,elementary education,基礎教育；基本教育,基础教育,
21365956,Elementary School,小學；國小；國民小學,小学,
21365957,elementary substance,元素態物質,单质,
21365958,Elliptical Trainer,太空漫步機,太空漫步机；太空机,
21365959,emergency fund,急救金,应急金,
21365960,emergency kit,避難包；救難包,避难包；应急包,
21365961,enamel,琺瑯質,珐琅质；釉质,
21365962,Encore,安可,安可,
21365963,Enter key,確認鍵,回车；回车键,
21365964,entertainer,演藝人員,演艺人员；演职人员,
21365965,environmental carrying capacit,環境負載力,环境承载力,
21365966,environmental quality,環境品質,环境品质；环境质量,
21365967,environmental refugees,環境難民,环境难民；生态难民,
21365968,epicenter,震央,震中,
21365969,equation of sphere,球面方程式,球面方程,
21365970,eraser,橡皮擦,橡皮；橡皮擦,
21365971,erythropoietin,紅血球生成素,红细胞生成素,
21365972,escalator,手扶梯；電扶梯,手扶梯；电扶梯；自动扶梯；电动扶梯；滚梯；步行电梯,
21365973,ethernet,乙太網路,以太网,
21365974,Euro,歐元,欧元；欧罗,
21365975,euthanasia,安樂死,安乐死；慈悲杀人,
21365976,eutrophication,優養化,富营养化,
21365977,Everest,珠穆朗瑪峰；聖母峰,珠穆朗玛峰 ；珠峰,
21365978,exceed,超領,超支,
21365979,exosphere,外氣層,散逸层；外逸层；逃逸层；外大气层,
21365980,Explosives,爆炸物；爆裂物,爆炸物,
21365981,exponential growth,指數生長；指數增長；指數型成長；指數型族群成長,指数生长；种群指数生长,
21365982,express,快遞,快递；特快专递,
21365983,expressway,快速道；快速道路,快速路,
21365984,extension,副檔名,扩展名,
21365985,extension cords,延長線,排插；插排；线板；接线板,
21365986,external acoustic meatus,外耳道,耳道；外耳道；外听道；耳朵眼儿,
21365987,extinguisher,滅火器,灭火器,
21365988,extra money,外快,外快；外水；活钱,
21365989,extra train,加班車,加班车；加车,
21365990,Extrasensory Perception,第六感,第六感；第六感官；第六感觉,
21365991,fabric softener,柔軟精,柔软剂 ；柔顺剂,
21365992,facial cleanser,洗面乳,洗面乳；洗面奶,
21365993,facial nerve,顏面神經,面神经,
21365994,facial threading,挽面,挽面；绞脸,
21365995,fake license plate,假牌,假牌；套牌,
21365996,fallout,落塵,落尘；降尘,
21365997,family medicine,家庭醫學；家醫,家庭医学,
21365998,family physician,家庭醫生；家醫,家庭医生,
21365999,family planning,家庭計畫,计划生育,
21366000,fancy,花式,花样,
21366001,fast food,速食,快餐,
21366002,fast food restaurant,速食店,快餐店,
21366003,fast traffic lane,快車道,快车道；快行线,
21366004,fastskin,鯊魚衣；鯊魚服,鲨鱼衣；鲨鱼服；快皮,
21366005,fat finger,胖手指,胖手指；乌龙指,
21366006,ferry,渡輪,輪渡,
21366007,field,場；域；欄位,字段,
21366008,fighter,戰鬥機；驅逐機,战斗机；驱逐机；歼击机,
21366009,figure skating,花式溜冰,花樣溜冰,
21366010,file transfer protocol{=FTP},檔案傳輸協定,文件传输协议,
21366011,film,底片；電影膠捲；膠膜,塑封,
21366012,final examination,期考；期末考,期考；期末考；大考；期终考,
21366013,fine,罰鍰,罚款,
21366014,finger painting,指畫；手指畫,指画；手指画；指头画；指墨画,
21366015,finish one's apprenticeship,出師；出道,出师；出道；满师；出徒,
21366016,firmware,韌體,固件,
21366017,fish fry,魚苗,鱼苗；鱼花,
21366018,fixed price,不二價,一口價,
21366019,flagship,旗艦,旗舰；指挥舰,
21366020,flash bang,震撼彈,重磅炸弹,
21366021,flash disk,行動碟；隨身碟,行动碟；闪盘；优盘；快闪碟； 闪存盘 ；大拇哥；霹雳碟；快闪记忆体盘,
21366022,flash grenade,震撼彈,震撼弹；闪爆弹；盲聋弹；晕眩弹；眩晕弹；震爆弹；爆震弹,
21366023,flash memory,快閃記憶體,闪存；闪速存储器,
21366024,flashback,倒敘,倒叙；逆叙；倒插笔,
21366025,flashlight,手電筒,电筒；手电筒；手电；电棒儿,
21366026,flexible disc{=FD},軟碟,软盘 ；软磁盘,
21366027,flipping properties,炒房,炒房；炒楼,
21366028,floating wages,浮動工資,浮动工资；活工资,
