ID,英文詞彙,中文詞彙,更新日期
21373156,advanced combat data system (ACDS),先進戰鬥資料系統,
21373157,advanced process control (APC),先進程序控制,
21373158,aeroplane platform,飛機平臺,
21373159,after surface,後表面,
21373160,aiming drive system of naval gun,艦炮瞄準驅動系統,
21373161,air content ratio,空氣含量比(螺槳空化),
21373162,air extraction cooling system,空氣冷抽系統,
21373163,air gap,間隙; 氣隙; 空氣間隙,
21373164,air handling unit (AHU),空調箱,
21373165,air stabilizer,空中穩定器,
21373166,air-arc gouging,空氣電弧挖槽,
21373167,Airborne Early Warning (AEW),空中預警,
21373168,Airborne Warning and Command System (AWACS),空中預警管制系統,
21373169,Aircraft Carrier (CV),航空母艦,
21373170,"aircraft landing, handling and parking",飛機著陸、裝卸及停放,
21373171,aircraft load,飛機負荷,
21373172,aircraft platform,飛機平臺,
21373173,aircraft stagging,飛機交錯飛行,
21373174,aircraft staging,飛機分段,
21373175,aircraft undercarriage oleo load,飛機起落架油壓減震器負荷,
21373176,aircushion platform,氣墊平臺,
21373177,alcohols,醇類,
21373178,alkyl benzene,烷基苯,
21373179,Allied Communications Publication (ACP),同盟國通信書刊;  盟軍通信書刊,
21373180,Allied Data Publication (ADatP),盟軍資料書刊,
21373181,Allied Hydrographic Publication (AHP),同盟國水道書刊,
21373182,Allied Tactical Publication (ATP),同盟國戰術刊物,
21373183,allowable deflection,容許變形,
21373184,all-up-weight (AUW),總重; 滿載重量; 最大重量; 水翼船托舉重量; 舉重量,
21373185,all-weld metal,全銲接金屬,
21373186,all-weld metal test,全銲接金屬試驗,
21373187,all-weld metal test specimen,全銲接金屬試片,
21373188,alpha-olefins (α - olefins),α - 烯,
21373189,altar platform,塢壁平臺,
21373190,alternating current machine,交流電機,
21373191,alternating scarf joint,交互嵌接接頭,
21373192,alternative solution,替代解; 另解,
21373193,aluminium sulphate solution,硫酸鋁溶液,
21373194,Aluminum Association Standards (AA Standards),美國鋁業協會標準,
21373195,aminoethyl diethanolamine,氨基二乙醇胺水溶液,
21373196,"aminoethyl ethanolamine, water solution",氨基乙醇胺水溶液,
21373197,ammonium nitrate solution,硝銨溶液,
21373198,ammonium phosphate solution,磷酸銨溶液,
21373199,ammunition feeding system of naval gun,艦炮供彈系統,
21373200,ammunition hoist of shipboard gun,艦炮揚彈機,
21373201,ammunition transfer gear of shipboard gun,艦炮彈藥輸送裝置,
21373202,ammunition transferring and feeding system of shipboard gun,艦炮彈藥輸送供彈系統,
21373203,amplitude spectrum,振幅頻譜,
21373204,"amyl alcohol, primary",戊醇，初級,
21373205,analytical solution,解析解,
21373206,anchor mooring and towing arrangement,繫拖設備; 繫泊拖帶布置,
21373207,anchoring and mooring arrangement,錨泊與繫泊布置,
21373208,anchoring arrangement,錨泊布置,
21373209,angular change distortion,角度變化收縮變形,
21373210,anti ship missile (ASM),反艦飛彈,
21373211,anti submarine warfare (ASW),反潛作戰,
21373212,Anti-Jamming (AJ),反干擾,
21373213,antipode,對蹠點,
21373214,Anti-Submarine Aircraft Carrier (CVS),反潛航空母艦,
21373215,antisubmarine effectiveness,反潛效能,
21373216,"anti-submarine helicopter {= helicopter, anti submarine (HAS)}",反潛直升機,
21373217,anti-torpedo blister,防雷鼓泡,
21373218,anti-torpedo bulge,防雷鼓包,
21373219,aphelion,遠日點; 遠核點,
21373220,apparent length,表觀長度; 視長度,
21373221,apparent strain,表觀應變,
21373222,apparent stress,表觀應力; 表徵應力,
21373223,approach speed,接近速率; 臨迴旋航速; 迴旋初速; 接近航速,
21373224,approximate estimation,近似估算,
21373225,approximate solution,近似解,
21373226,arc gouging,電弧挖槽,
21373227,area source,面聲源,
21373228,articulated loading platform,關節式裝載平臺,
21373229,assorted screwdriver,什錦螺絲起子,
21373230,as-weld,銲後原態,
21373231,attached fouler,附著垢物,
21373232,augmented GNSS,增強型全球導航衛星系統,
21373233,austenitic steel,奧斯田鋼; 奧斯體鋼,
21373234,automated guided vehicle (AGV),自動導引車; 自動導引船,
21373235,Automatic Data Porcessing (ADP),自動資料處理,
21373236,automatic fire stopper at danger zone of shipboard gun,艦炮危險射角停射機構,
21373237,automatic lipring,自動唇環,
21373238,automatic pressure ring,自動壓力環,
21373239,autothermal reforming (ATR),自發熱重組,
21373240,aviation fuel,航空燃油,
21373241,aviation kerosene,航空煤油,
21373242,avigas,航空汽油,
21373243,awaiting repair time,候修時間,
21373244,axial piston swash plate type,制水板式軸向活塞,
21373245,back-step sequence,後退式順序; 後退銲順序; 退銲順序,
21373246,back-step welding,後退式銲接; 分段後退銲法,
21373247,back-up joystick control,備用操縱桿控制,
21373248,baffled piston,屏障活塞; 擋板活塞,
21373249,baffled piston model,屏障活塞模型; 擋板活塞模型,
21373250,baking,烘烤,
21373251,batch,批次,
21373252,bathus,深度,
21373253,bathymetry,測深學,
21373254,bead toe,道趾,
21373255,beam analogy,相似梁; 梁類比,
21373256,beam overall,全寬,
21373257,beam rider,乘波飛彈; 乘波者,
21373258,beamforming,波束形成,
21373259,bearing failure,壓潰破壞,
21373260,bending damping matrix,彎曲阻尼矩陣,
21373261,bending flexure,彎曲撓性,
21373262,bending platform,彎材平臺,
21373263,bending wave,彎曲波,
21373264,Biles' coffin mass distribution,拜爾斯棺柩形質量分布,
21373265,bilge plate,舭板,
21373266,bilge plating,舭板列,
21373267,binding energy,結合能,
21373268,blue shift,藍移,
21373269,body centred cubic structure (BCC),體心立方堆積晶格,
21373270,Boltzmann's constant,波茲曼常數,
21373271,boom platform,吊桿平臺,
21373272,booster platform,增壓加高平臺,
21373273,booster seat,加高座椅,
21373274,borescope receptacle,內視鏡插座,
21373275,both-side multirun welding,雙側多道銲接,
21373276,both-side single-run welding,雙側單道銲接,
21373277,both-side welding,雙側銲接,
21373278,bottom grillage,底部格架; 船底板架,
21373279,bottom supported platform,坐底式平臺; 著底平臺,
21373280,bottom supporting drilling platform,定柱沉澱式鑽井平臺; 坐底式鑽井平臺,
21373281,bottom-up,由下而上; 自下而上,
21373282,boundary value problem (BVP),邊界值問題,
21373283,breadth overall,全寬,
21373284,"Breathing Apparatus, Self-Contained, Compressed Air (BASCCA)",自給式壓縮空氣呼吸器,
21373285,bridge - linked platforms,橋連平臺,
21373286,bridge automation,艦橋自動化; 船橋自動化,
21373287,bridge structure,橋梁結構,
21373288,bridging structure,橋接結構,
21373289,Bromochlorodifluoromethane (BCF) (Halon 1211),溴氯二氟甲烷（海龍 1211）,
21373290,Bromotriflouromethane (BTM) (Halon 1301),溴三氟甲烷（海龍 1301）,
21373291,buckling distortion,收縮挫曲變形（銲接）,
21373292,buckling mode,挫曲模式,
21373293,buffering,緩衝銲,
21373294,build up,堆層,
21373295,building up,堆層,
21373296,bulk chemical cargo code (BCC),散裝化學品章程,
21373297,buoyant leg structure (BLS),浮力腿式結構,
21373298,butt weld,對接銲道,
21373299,buttering,預堆邊銲; 塗層銲,
21373300,butyl stearate,硬脂酸丁酯,
21373301,butylene glycol,丁二醇,
21373302,butylene oligomer,齊聚丁烯,
21373303,buzz,嗡嗡聲; 蜂鳴聲(代表風切氣動聲),
21373304,buzz squeak & rattle testing (BSR testing),異響測試; 異音測試,
21373305,bypass repair,旁路修復,
21373306,cable - crane platform,纜機平臺,
21373307,cable platform,電纜平臺; 繩索平臺,
21373308,caisson platform,沉箱式平臺,
21373309,calcium alkyl salicylate,磷烴基苯甲酸胺基鈣,
21373310,calcium bromide solution,溴化鈣溶液,
21373311,calcium chloride solution,氯化鈣溶液,
21373312,camouflage,偽裝欺敵,
21373313,cantilever platform,懸臂式鑽井平臺,
21373314,capacity governed vessel,容積支配船,
21373315,caprolactam (CPL),己内醯胺,
21373316,carbon capture and storage,二氧化碳捕捉收集,
21373317,carbon equivalent,碳當量,
21373318,carbon-carbon composite (CC),碳-碳複材,
21373319,carboxylated styrene-butadiene copolymer,羧基化苯乙烯丁二烯; 羧基丁苯橡膠膠乳,
21373320,cargo platform,裝貨平臺,
21373321,cargo tank,液貨艙,
21373322,carriage of dangerous goods,危險貨物運載,
21373323,cast iron platform,鑄鐵平臺(有槽溝),
21373324,casualty board,損害狀況圖板,
21373325,categorization,分類,
21373326,causalty,因果律; 因果關係,
21373327,cause consequence analysis,因果分析,
21373328,caustic cleaning,堿洗,
21373329,cavitation bubble,空泡,
21373330,cavitation bubble collapse,空泡破裂,
21373331,cavitation flow,空化流,
21373332,cavitation inception,空化起始,
21373333,cavitation inception number,起始空化數,
21373334,cavitation wake,空化伴流,
21373335,cell spar,蜂巢型筒柱,
21373336,Celsius,攝氏度,
21373337,centering of shafting by direct connection,平軸法軸系對準,
21373338,centering platform for torpedo,魚雷中心定位平臺,
21373339,Centigrade,攝氏度,
21373340,Centre of Buoyancy (B),浮力中心; 浮心,
21373341,centrifugal spindle torque coefficient,離心轉軸扭矩係數,
21373342,ceramic matrix composite (CMC),陶瓷基複材,
21373343,certification scheme,認證計畫; 認證制度; 認證體系,
21373344,chaff & decoy (C&D),假目標干擾; 人造雷達干擾物與假目標誘餌,
21373345,"Change of Operational Command or Control, as specified (CHOP)",變更作戰指揮或管制,
21373346,charge air cooler,充氣冷卻器,
21373347,charge air waste gate,增壓空氣廢氣門,
21373348,charge life,核燃料使用期限; 燃料使用期限,
21373349,check-off list,檢查表; 勾選清單,
21373350,chemical equilibrium,化學平衡,
21373351,chemical equilibrium constant,化學平衡常數,
21373352,chemical potential,化學勢,
21373353,chemical type glass (C-glass),耐化學玻璃,
21373354,chipping,鑿平; 冷鑿,
21373355,choline chloride solutions,氯化膽素溶液,
21373356,chordwise extent,弦向範圍,
21373357,christmas tree,聖誕樹、水下採油樹閘閥及連接器,
21373358,clad steel,覆面鋼,
21373359,cladding,包覆; 鍍; 裝甲; 覆面銲,
21373360,cladding process,覆面銲製程,
21373361,clamp,夾器; 鉗; 夾治具,
21373362,clean coal technology (CCT),淨煤發電技術,
21373363,clear ship,備便作戰; 清船,
21373364,Close In Weapons System (CIWS),近迫武器系統,
21373365,closed loop solution,閉合解,
21373366,closed-cell type of structure,閉巢式結構; 閉腔式結構,
21373367,Close-in Weapon System (CIWS),近程武器系統;  近迫武器系统,
21373368,coconut oil fatty acid methyl ester,椰子油脂肪溶液,
21373369,cohesion failure,膠體破壞,
21373370,cold crack,冷裂紋,
21373371,cold cracking susceptability value,冷裂敏感值,
21373372,collision accident,碰撞事故,
21373373,collision analysis,碰撞分析,
21373374,column stabilized platform,柱式穩定平臺,
21373375,Combat Air Patrol (CAP),戰鬥空中巡邏; 空中戰鬥巡航; 巡航戰鬥機,
21373376,Combat Direction System (CDS),戰鬥指揮系統,
21373377,Combined Diesel and Gas Turbine (CODAG),柴油機與燃氣渦輪機複合動力裝置,
21373378,Combined Diesel Electric and Gas Turbine (CODEAG),柴電與燃氣渦輪機複合動力裝置;  柴-電與燃氣渦輪機聯合動力裝置,
21373379,Combined Diesel or Gas Turbine (CODOG),柴油機或燃氣渦輪機組合動力裝置,
21373380,combined diesel-electric and gas turbine (CODEAG) machinery,柴-電與燃氣渦輪機聯合動力機械裝置,
21373381,Combined Gas Or Gas (COGOG),全燃氣渦輪機組合動力裝置;  全燃氣渦輪機交替動力裝置,
21373382,Combined Gas Turbine and Gas Turbine (COGAG),燃氣渦輪機複合動力裝置;  全燃氣渦輪機聯合動力裝置,
21373383,combined gas turbine and/or gas turbine (COGAG),全燃氣渦輪機複合/組合動力裝置,
21373384,Combined Gas Turbine or Gas Turbine (COGOG),全燃氣渦輪機組合動力裝置;  全燃氣渦輪機交替動力裝置,
21373385,"Command, Control and Information System (CCIS)",指揮管制情報系統,
21373386,Commander Strike Fleet (COMSTRKFLT),打擊艦隊指揮官,
21373387,Commander Submariners Eastern Atlantic (COMSUBEASTLANT),東大西洋潛艦部隊指揮官,
21373388,Commander Task Element (CTE),特遣分隊指揮官;  特遣分隊長,
21373389,Commander Task Force (CTF),特遣部隊指揮官,
21373390,Commander Task Group (CTG),特遣支隊指揮官,
21373391,Commander Task Unit (CTU),特遣(區)隊指揮官,
21373392,"Commander-in-chief (CINC,CinC,C-in-C)",總司令; 統帥; 司令長官; 最高統帥,
21373393,Commander-in-chief Fleet (CINCFLEET),艦隊總司令,
21373394,"Commander-in-chief, Channel (CINCHAN)",水道司令長官,
21373395,"Commander-in-chief, Eastern Atlantic (CINCEASTLANT)",東大西洋區總司令,
21373396,commercial off - the - shelf (COTS),商用現成品或技術; 商用貨架產品,
21373397,Communication Intelligence (COMINT),通信情報,
21373398,Communication Plan (COMPLAN),通信計畫,
21373399,compass platform,羅經觀測臺,
21373400,compass testing platform,羅經試驗平臺,
21373401,compatibility,相容性; 一致性,
21373402,compatibility condition,相容條件,
21373403,compatibility equation,相容方程,
21373404,complementary solution,互補解,
21373405,complete solution,全解,
21373406,complex reflection factor,複反射因子,
21373407,compressibility factor,壓縮因數,
21373408,Computer Assisted Action Information System (CAAIS),電腦輔助戰鬥情報系統,
21373409,computer-aided reliability estimation,電腦輔助可靠度估算,
21373410,computerese,電腦語言; 計算機術語,
21373411,concrete perforated wall platform,混凝土穿孔防浪壁重力式平臺,
21373412,condition monitoring system (CMS),狀態監視系統,
21373413,confusion reflector,擾亂反射器,
21373414,conning platform,駕駛指揮平臺,
21373415,conservative estimate,保守估計; 偏低估計,
21373416,consistent estimate,一致估計; 相容估計; 一致估計量,
21373417,consistent estimator,一致估計量,
21373418,constant pressure specific heat,等壓比熱,
21373419,constant volume specific heat,等容比熱,
21373420,construction design,施工設計,
21373421,construction technique,施工技術; 建造技術,
21373422,constructional technique,施工技術; 建造技術,
21373423,consumable electrode,消耗性電極,
21373424,consumable insert,消耗性塞材,
21373425,consumable ring,消耗環,
21373426,continental platform,大陸棚; 大陸臺地,
21373427,continuous professional development (CPD),持續專業發展,
21373428,continuous weld,連續銲接; 連續銲道,
21373429,contract definition,合約規定; 合約條款擬定,
21373430,contract definition stage,合約條款制定階段,
21373431,contract life,合約有效期限,
21373432,control rod differential effectiveness,核控制棒微分效率(核能); 控制棒微分效率; 控制棒單位位移反應性變化,
21373433,control rod integral effectiveness,核控制棒積分效率(核能);控制棒積分效率(核能); 控制棒積分效率; 控制棒總位移反應性變化,
21373434,control rod total effectiveness,核控制棒全效率;控制棒全效率; 控制棒全效率(控制棒完全入堆後所引起的反應性變化),
21373435,control surface angle,控制面轉角; 操縱面偏轉角,
21373436,control volume,控制容積; 控容,
21373437,"control, processing and display computer (CPDC)",控制、處理及圖形顯示電腦; 控制、處理及顯示電腦,
21373438,controlled cooling,控制冷卻,
21373439,controlled rolling,控制軋製,
21373440,Convention Concerning Accommodation onboard Fishing Vessels,漁船上起居設備公約,
21373441,Convention Concerning Crew Accommodation onboard Ship,船上應有船員起居設備公約,
21373442,Convention Concerning Minimum Standard in Merchant Ships,商船最低標準公約,
21373443,Convention Concerning the Protection against Accidents of Workers Employed in Loading or Unloading Ships,船舶起卸工人災害防護公約,
21373444,conventional controlled rolling (CCR),傳統控制軋製,
21373445,coral reef platform,珊瑚礁臺地,
21373446,core life,核活性區使用期限; 活性區使用期限; 活性區使用期限,
21373447,coreless motor,無鐵芯馬達; 無鐵芯電動機,
21373448,correlation matrix,相關矩陣,
21373449,corrosion resistance,耐腐蝕能力; 耐蝕性,
21373450,corrosion resistance overlay welding,耐腐蝕堆銲,
21373451,co-spectrum,餘譜(交叉譜的實部); 同相譜,
21373452,cost effectiveness,成本有效度; 費用實效度,
21373453,cost estimate,成本估算; 估價; 造價估算; 費用概算,
21373454,cost threshold,成本閾值,
21373455,cost/benefit analysis,成本效益分析,
21373456,cost-effectiveness,成本有效性,
21373457,cost-performance trade-off,成本性能權衡,
21373458,council,理事會,
21373459,crack formation life,裂紋生成壽命,
21373460,crank throw,曲柄銷臂; 曲柄推程,
21373461,crash landing,迫降,
21373462,critical cost driver,關鍵成本動因,
21373463,critical ranking,危急排行; 危急排序; 危急排名,
21373464,critical section,關鍵截面; 危險斷面; 關鍵區段; 臨界區; 臨界截面,
21373465,critical specific volume,臨界比容,
21373466,criticality analysis,關鍵性分析; 危急性分析,
21373467,cross spectrum,交叉譜,
21373468,crosshead lub oil pump,十字頭潤滑油泵,
21373469,crude oil washing (COW),原油洗艙,
21373470,cruise lock assembly of shipboard gun,艦炮航行固定器,
21373471,Cruiser (CC),巡洋艦,
21373472,cryogenic service,低溫用,
21373473,cryogenic steel,低溫用鋼,
21373474,crystal dislocation,晶體錯位,
21373475,cure,硬化; 固化,
21373476,curved grillage,彎曲格架; 扭曲格架,
21373477,Customer Requirement Management (CRM),客戶需求管理,
21373478,cyber attack,網路攻擊,
21373479,cyber insight,網路洞察,
21373480,cyber resilience,網路韌性;  資安韌度;  網路恢復力;  網路抗障性,
21373481,cyber resilience of ships,船舶網路韌性,
21373482,cyber threat intelligence,網路威脅情資,
21373483,cyber watch,網路監視; 網路當值,
21373484,cyclic load component,週期負荷成分,
21373485,cylinder dowel,圓柱銷釘,
21373486,D.C. welding generator,直流銲接發電機,
21373487,data collection platform,數據收集臺,
21373488,Dead Reckoning (DR),推測航行; 推算航行法; 推算船位,
21373489,Decca navigator,迪卡導航儀; 迪卡雙曲線無線電導航儀,
21373490,deck stringer strake,甲板緣厚板列; 甲板緣板列,
21373491,decoy & chaff,假目標干擾; 人造雷達干擾物與假目標誘餌,
21373492,deep stiff transverse structure,深層剛硬橫向結構,
21373493,deep water gravity tower platform,深水重力塔式平臺,
21373494,defect,缺陷,
21373495,Defence Communication Network (DCN),國防通信網路,
21373496,Defense Satellite Communications System (DSCS),國防衛星通信系統,
21373497,deformation limit,變形極限,
21373498,denunciation,退出; 譴責,
21373499,deoxidization,除氧; 去氧; 脫氧,
21373500,deoxidizer,還原劑; 除氧劑; 去氧劑,
21373501,deposit,文件存放; 存放,
21373502,deposited metal,銲積金屬; 熔填金屬,
21373503,design criteria,設計準則; 設計標準,
21373504,design documentation,設計證明文件; 設計文檔,
21373505,design iteration,設計迭代,
21373506,design load envelope,設計負荷包絡線,
21373507,design philosophy,設計哲學; 設計原則,
21373508,design process,設計過程; 設計流程,
21373509,design sea method,設計波法,
21373510,design service life,設計使用壽命,
21373511,design significance,設計意義,
21373512,design specification,設計規範; 設計說明書,
21373513,Destroyer (DD),驅逐艦,
21373514,detached inception,空泡脱體起始,
21373515,detail specification,詳細規範; 詳細說明書,
21373516,dextrose solution,葡萄糖溶液,
21373517,di- ( 2-ethylhexyl) adipate,己二酸二(2-乙基己基)酯; 己二酸雙(2-乙基己基)酯,
21373518,diacetone alcohol,雙丙胴醇,
21373519,diagonal tension field,對角張力場,
21373520,dialkyl phthalates,二烷基鄰苯二甲酸鹽類; 鄰苯二甲酸酯,
21373521,dicyclopentadiene,雙環戊二烯; 雙茂,
21373522,diesel reforming with fuel cell,柴油重組結合燃料電池,
21373523,diethylene glycol,二甘醇,
21373524,diethylene glycol butyl ether,二甘醇丁基醚,
21373525,diethylene glycol butyl ether acetate,二甘醇醋酸丁基醚,
21373526,diethylene glycol dibutyl ether,二甘醇二丁醚,
21373527,diethylene glycol diethyl ether,二甘醇二乙醚,
21373528,diethylene glycol ethyl ether,二甘醇乙醚,
21373529,diethylene glycol ethyl ether acetate,二甘醇醋酸乙醚,
21373530,diethylene glycol methyl ether acetate,二甘醇醋酸甲基醚,
21373531,diethylenetriamine pentaacetic acid pentasodium salt solution,二次乙基三胺戊酸酚四鈉鹽溶液,
21373532,differential global navigation satellite system (DGNSS),差分全球導航衛星系統,
21373533,diffraction,繞射; 衍射,
21373534,diffraction sound,繞射音; 繞射聲,
21373535,diffuse field,擴散聲場; 擴散場,
21373536,digital photographic scaling,數位照片缩放,
21373537,diheptyl phthalate,苯二甲酸二庚酯,
21373538,dihexyl phthalate,苯二甲酸二己酯,
21373539,diisobutyl ketone,二異丁酮,
21373540,diisodecyl phthalate,苯二甲酸二異癸酯,
21373541,diisononyl adipate,己二酸二異壬酯,
21373542,diisooctyl phthalate,苯二甲酸二異辛酯,
21373543,diisopropyl naphthalene,二異丙基萘,
21373544,dinonyl phthalate,對苯二酸二癸酯,
21373545,dioctyl phthalate,苯二甲酸二(2-乙基己基)酯; 苯二甲酸二辛酯,
21373546,dipropylene glycol,二丙醇(乙)醚; 二丙二醇; 一縮二丙二醇; 雙丙二醇,
21373547,dipropylene glycol methyl ether,雙-β-烴基丙醚甲醚,
21373548,Dirac's delta function,狄拉克脈衝函數,
21373549,Direct Current (DC),直流,
21373550,direct sound,直達音; 直達聲,
21373551,direct stress,法向應力; 正向應力; 直接應力,
21373552,Direction Finding (DF),測向; 定向,
21373553,directivity,指向性,
21373554,director platform,射擊指揮平臺,
21373555,Dirichlet problem,德里切利問題,
21373556,disabled submarine,失能潛艇,
21373557,disembarkation,登陸; 上岸; 下船; 向岸上卸貨; 卸貨,
21373558,disembarkation means,登陸設施; 下船設施,
21373559,dislocation,錯位; 差排,
21373560,dissociation,解離,
21373561,distortion,畸變; 扭曲; 失真,
21373562,distributed control system (DCS),分散式控制系統,
21373563,distributed load,分佈負荷,
21373564,diundecyl phthalate,雙十一基甲鄰苯二甲酸酯; 鄰苯二甲酸雙十一烷基酯,
21373565,dodecane,十二烷,
21373566,dome cover,圓頂蓋,
21373567,dominant wave frequency,主波頻,
21373568,domino effect,骨牌效應,
21373569,Doppler navigator,都卜勒導航儀,
21373570,double joint,雙搭接; 雙搭接接頭,
21373571,double layer potential,雙層位能,
21373572,double side,雙重側板,
21373573,double-J butt weld,雙側－Ｊ形對接銲道,
21373574,double-side welding,雙側銲接,
21373575,double-stator permanent magnet synchronous motor,雙定子永磁同步馬達; 雙定子永磁同步電動機,
21373576,double-U butt weld,雙側－Ｕ形對接銲道,
21373577,double-V butt weld,雙側－Ｖ形對接銲道,
21373578,downwash angle,下洗角,
21373579,drawing room,繪圖室,
21373580,dry mode frequency,乾模態頻率,
21373581,dry-cargo ship lineage,乾貨船世系,
21373582,drying,乾燥,
21373583,drying oven,乾燥箱,
21373584,ductility tip crack,延性下降裂紋,
21373585,due regard,適當注意,
21373586,due regard radar (DRR),適當判斷雷達,
21373587,dwell time,停留時間,
21373588,dynamically - positioned drilling platform,動態定位鑽井平臺,
21373589,ear muff,耳罩,
21373590,ear plug,耳塞,
21373591,early stage of design,設計早期階段,
21373592,edge distance,端面距離,
21373593,e-diesel,電子柴油,
21373594,effective advance angle,有效前進角,
21373595,effective angle of attack,有效攻角,
21373596,effective life,有效壽命; 使用壽命,
21373597,effective structural weight coefficient,有效結構重量係數,
21373598,efficient structure,有效結構; 高效結構,
21373599,e-gasoline,電子汽油,
21373600,e-kerosene,電子煤油,
21373601,elastic matrix,彈性基材,
21373602,elasto-plastic buckling strength,彈-塑性挫曲強度,
21373603,electric bonding,電器連接; 電氣連接,
21373604,electric equipment,電器設備; 電氣設備,
21373605,electric torch,銲槍; 點銲槍; 電銲槍; 銲槍管,
21373606,electric type glass (E-glass),電絕緣玻璃,
21373607,Electromagnetic (EM) wave,電磁波,
21373608,electromagnetic platform,電磁平臺,
21373609,Electromagnetic Pulse (EMP),電磁脈衝,
21373610,electron volt (EV),電子伏特,
21373611,electronic chart,電子海圖,
21373612,Electronic Counter - Counter Measures (ECCM),電子反反制措施,
21373613,electronic counter measure (ECM),電子反制措施,
21373614,Electronic Counter Measures (ECM),電子反制措施,
21373615,Electronic Counter-Countermeasures (ECCM),電子反反制措施,
21373616,Electronic Functional Unit (EFU),電子功能切換組件;  電子功能單元,
21373617,Electronic Intelligence (ELINT),電子情報,
21373618,electronic navigation chart,電子導航海圖; 電子航行圖,
21373619,electronic specific heat,電子比熱,
21373620,electronic support measure (ESM),電子保障措施,
21373621,Electronic Surveillance Measures (ESM),電子監視措施,
21373622,electronic-magnetic compatibility (EMC),電磁相容性,
21373623,electronics technician,儀電工程師,
21373624,electrostatic spraying,靜電噴塗,
21373625,embarkation,登輪; 乘船,
21373626,emergency diesel generator (EDG),應急柴油發電機,
21373627,Emergency Life Support Apparatus (ELSA),緊急維生裝置,
21373628,emergency load,應急負荷,
21373629,e-methane,電子甲烷,
21373630,e-methanol,電子甲醇,
21373631,Emission Control (EMCON),輻射管制; 發射控制,
21373632,emissions trading scheme (ETS),排放交易計畫,
21373633,endurance cruise,續航力測定航行,
21373634,energy flow,能流; 能量流,
21373635,energy-saving power supply system,節能供電系統,
21373636,engine control station,引擎控制臺,
21373637,engine dynamics,發動機動力學,
21373638,engine dynamometer,引擎測功器; 發動機測功器,
21373639,engine efflux,引擎燃氣流; 引擎排氣流,
21373640,engine emissions testing,引擎有害排出物試驗,
