ID,英文詞彙,中文詞彙,更新日期
21331280,adapted physical activity,適應體育活動,
21331281,additional match,決勝賽,
21331282,additional player,額外球員,
21331283,advance,持續移步逼近,
21331284,advance and retreat,前後移步,
21331285,advance lunge,向前移步刺,
21331286,advanced,進級,
21331287,advantage,得益,
21331288,advantage clause,得益規則,
21331289,advantage receiver,接球方領先,
21331290,advantage server,發球方領先,
21331291,adventure travel,冒險旅遊,
21331292,aerobic power,有氧動力,
21331293,aerobics gymnastic,有氧體操,
21331294,aesthetic sports,審美運動,
21331295,aesthetics of sports,競技運動的美學,
21331296,affidavit,證明書;宣誓書,
21331297,Africa Gymnastics Union,非洲體操聯盟,
21331298,against wind,逆風,
21331299,age group,分齡組,
21331300,age group rules,分齡規則,
21331301,age selection,年齡選材,
21331302,agency,能動性,
21331303,agility,敏捷性,
21331304,agility training,敏捷性訓練,
21331305,AIBA scoring system,國際拳擊協會評分系統,
21331306,aid climbing,人工攀登,
21331307,aids,扶助,
21331308,aiming,瞄準,
21331309,air,坡道騰空(滑板),
21331310,air ball ,未碰籃框,
21331311,air pistol,空氣手槍,
21331312,air rifle,空氣步槍,
21331313,air shot  ,揮空桿,
21331314,air-supported structure,氣膜構造,
21331315,airs tricks ,空中技巧,
21331316,albatross  ,低於標準桿三桿(俗稱雙鷹),
21331317,alegitimate fall,合法的摔倒,
21331318,alienation,異化,
21331319,aligner,線審,
21331320,all around competition,全能馬術比賽,
21331321,all head or neck kips,頭手前翻,
21331322,all miss game ,全破之局 ,
21331323,all-around,全能競賽,
21331324,alley-oop,空中接力；第一時間出手,
21331325,allowance,馬負重減重,
21331326,allowance for time lost,補足消耗時間,
21331327,alternate cross chest carry,摟胸帶人,
21331328,alternating arm movements,雙手交叉划水；中交叉划水,
21331329,aluminum,鋁合金(田徑),
21331330,aluminum paddle,鋁合金槳,
21331331,amateur,業餘球員,
21331332,amateurism,業餘運動主義,
21331333,ambush marketing,伏擊行銷,
21331334,American Dance Therapy Association {= ADTA},美國舞蹈治療協會,
21331335,amplitude,擺幅,
21331336,An chagi,內掛踢,
21331337,an official time at an intermediate distance,中途計時正式紀錄,
21331338,anabolic steroid,同化性類固醇,
21331339,anabolism,合成代謝,
21331340,anaerobic capacity,無氧能力,
21331341,anaerobic metabolism,無氧代謝,
21331342,anaerobic power,無氧動力,
21331343,anaerobic threshold,無氧閾值,
21331344,anaerobic training,無氧訓練,
21331345,anatomical reference planes,解剖參考運動面,
21331346,anchor,尾棒,
21331347,anchor line,錨繩,
21331348,anchor velocity,角速度,
21331349,anemometer,風帶儀,
21331350,angle attack,對角球攻擊,
21331351,angle of attack {= AOA},攻角,
21331352,angle of delivery,出手角度,
21331353,angled shot,有角度的刺或劈,
21331354,angles pass,三角傳球,
21331355,angling,釣魚(冰球),
21331356,angular velocity,角速度,
21331357,ankling,靈活的踏蹬,
21331358,announcer,比賽播報員,
21331359,anomie,脫序,
21331360,antagonistic muscle,拮抗肌,
21331361,antenna,標誌竿,
21331362,anthropology of play,遊戲人類學,
21331363,anthropology of sport,運動人類學,
21331364,anthropometric measures,人體測量,
21331365,anti-spin rubber,抗旋膠皮,
21331366,Apkubi,弓步,
21331367,Apnea Finswimming (AP),屏氣蹼泳,
21331368,apnea finswimming breath skill,屏氣蹼泳呼吸技術,
21331369,Apparatus Difficulty{=AD},手具難度,
21331370,appeal,申訴,
21331371,appeal play,促請裁決,
21331372,appeals,上訴,
21331373,appel,雙連貫步伐進攻,
21331374,apprentice,新手,
21331375,approach,助跑(田徑)；助走道,
21331376,approach shot  ,上果嶺之擊球,
21331377,approve,比賽終署名,
21331378,appuyer,斜橫步,
21331379,aquatic centre,水上運動中心,
21331380,arc,投擲弧,
21331381,arch to back layout finish action,上拱成仰浮姿勢完成動作,
21331382,archery grand prix,射箭大獎賽,
21331383,arena,馴馬場,
21331384,arm block escape,單手推離,
21331385,arm extension assist,岸上手援,
21331386,armpit tow,腋下帶人,
21331387,arms carry,雙手托臂帶人,
21331388,arms cross carry,雙手鎖肩帶人,
21331389,armstand diving,臂立跳水,
21331390,army exercises,陸軍操,
21331391,arrow,箭,
21331392,arrows,箭頭指標,
21331393,artificial rock wall,人工岩壁,
21331394,artificial turf,人工草皮球場,
21331395,artistic grading,藝術評分,
21331396,artistic impression,藝術印象,
21331397,artistic impression score,藝術印象分數,
21331398,artistic roller skates,花式溜冰鞋,
21331399,artistic roller skating,花式溜冰,
21331400,artistic swimming,藝術游泳,
21331401,Artistic Swimming World Series,藝術游泳世界系列賽,
21331402,artistry,藝術性,
21331403,ascender,上升器,
21331404,ascent,上坡,
21331405,ashi-garami,足緘,
21331406,ashi-guruma,腳車,
21331407,ashi-waza,足技,
21331408,Asia Games Gymnastics Competition,亞洲運動會體操賽,
21331409,Asia Gymnastics Championships,亞洲體操錦標賽,
21331410,Asia Triathlon Confederation{=ASTC},亞洲鐵人三項聯盟,
21331411,Asian Archery Federation {= AAF},亞洲射箭聯盟,
21331412,Asian Beach Volleyball Championships,亞洲沙灘排球錦標賽,
21331413,Asian Beach Volleyball Tour,亞洲沙灘排球巡迴賽,
21331414,Asian Bowling Federation{=ABF},亞洲保齡球總會,
21331415,Asian Games,亞洲運動會,
21331416,Asian Indoor Games,亞洲室內運動會,
21331417,Asian Soft Tennis Championships,亞洲軟式網球錦標賽,
21331418,Asian Tenpin Bowling Championships,亞洲十瓶保齡球錦標賽,
21331419,Asian University Sports Federation {= AUSF},亞洲大學運動總會,
21331420,Asian Volleyball Championship (AVC),亞洲盃排球錦標賽,
21331421,Asociación Mundial de Fútbol de Salón{=AMFS},世界室內五人制足球協會,
21331422,asphalt road,柏油路,
21331423,asphalt track,柏油跑道,
21331424,assembling place,集合地點,
21331425,assessment in physical education teaching,體育教學評量,
21331426,assessment of injured player   ,評估受傷球員,
21331427,assessment of physical education,體育評量,
21331428,assigned degree of difficulty,規定難度係數,
21331429,assist,助攻,
21331430,assistance and help,保護與幫助,
21331431,assistant coach,助理教練,
21331432,assistant referees,助理裁判,
21331433,Association for Applied Sport Psychology  {= AASP},應用運動心理學會,
21331434,Association of National Olympic Committees of Africa  {= ANOCA},非洲奧林匹克委員會,
21331435,Association of Tennis Professionals  {= ATP},男子職業網球協會,
21331436,at bat,打數,
21331437,athlete bib,號碼布（徑賽）,
21331438,athlete bibs,號碼布；試舉號碼布,
21331439,athlete passes,選手通行證,
21331440,athlete support personnel,運動員輔助人員,
21331441,athlete's card,選手卡,
21331442,athlete's declaration,運動員聲明,
21331443,athlete's heart,運動員心臟,
21331444,athletes' outfit,選手裝備,
21331445,athletic administration,體育行政,
21331446,athletic amenorrhea,運動性停經,
21331447,athletic trainer,運動傷害防護員,
21331448,athletics,田徑運動,
21331449,attack,攻擊,
21331450,attack action,攻擊動作,
21331451,attack after receive,接發球搶攻,
21331452,attack after service,發球搶攻,
21331453,attack line,攻擊線,
21331454,attack on the blade,劍身進攻,
21331455,attack preceded by a feint,假動作進攻,
21331456,attack preceded by two feints,雙假動作進攻,
21331457,attack technology,攻擊技術,
21331458,attack-hit faults,攻擊犯規,
21331459,attacking rate,攻擊率,
21331460,attacking zone ,攻擊區,
21331461,attact angle,迎角,
21331462,attempt board,試舉揭示板,
21331463,attempt to injure,企圖攻擊(冰上曲棍球),
21331464,attention,立正,
21331465,attest,比賽後計分員檢查無誤,
21331466,attunement,協調；融入,
21331467,audience effects,觀眾效應,
21331468,Australian Open,澳洲網球公開賽,
21331469,authentic movement,真實動作,
21331470,authorization of the service,指示發球,
21331471,authorized  agent,馬主人的代理人,
21331472,automatic officiating,電動計時,
21331473,automatic officiating equipment,電動計時器(游泳),
21331474,aux boat,輔助船,
21331475,auxiliary equipment,輔助器械,
21331476,away game,客場比賽,
21331477,away goals rule  ,客場進球規則,
21331478,axe kick,下壓踢,
21331479,Axel jump,阿克塞爾跳；艾克索跳,
21331480,axle ,中軸{滑板},
21331481,axle fracture,車軸斷裂,
21331482,back,向後傳球,
21331483,back court,後場,
21331484,back diving,向後跳水,
21331485,back door ,後門,
21331486,back formation play,反撲擊快攻,
21331487,back layout position,仰面位置,
21331488,back nine,後九洞,
21331489,back salto elements,後空翻系列動作,
21331490,back screen,背向掩護,
21331491,back spin  ,後旋球,
21331492,back stick,背桿,
21331493,back straight,次道；非終點直道,
21331494,back-row player,後排球員,
21331495,backcourt violation,回場違例,
21331496,backend,球尾,
21331497,backhand,反手拍,
21331498,backhand and forehand,反手拍與正手拍,
21331499,backhand interception,反手拍攔截,
21331500,backhand serve,反手拍發球,
21331501,backhand smash,反手拍高壓殺球,
21331502,backhand stroke,反手拍高球擊球,
21331503,backing card,靶後紙卡,
21331504,backing target,副靶,
21331505,backside,轉動後背對障礙物,
21331506,backstroke,仰式,
21331507,backstroke ledge,仰泳起跳架,
21331508,backstroke turn,仰式滾轉,
21331509,backstroke turn indicators,仰式轉身標示,
21331510,backswing,拉拍,
21331511,backward saltos,後空翻,
21331512,backward stance,三七步,
21331513,badminton,羽球,
21331514,Badminton World Federation  {= BWF},世界羽球聯合會,
21331515,bady cable,身體導線,
21331516,baffy,4號木桿,
21331517,bag,球袋,
21331518,balance,平衡,
21331519,balance beam,平衡木,
21331520,balance beam apparatus norms,平衡木器械規格,
21331521,balestra,躍步前進,
21331522,balk,投手犯規,
21331523,ball,滾珠(自由車),
21331524,ball baulk,拒走拒跳,
21331525,ball bearing,滾珠軸承,
21331526,ball check,磅球,
21331527,ball control,控球,
21331528,ball handing,球感,
21331529,ball in,界內球,
21331530,ball in play,比賽中之球,
21331531,ball mark  ,球位標記,
21331532,ball out,界外球,
21331533,ball picker,撿球員,
21331534,ball possession,控球時間,
21331535,ball side,有球邊（籃球）,
21331536,ballet leg double position,雙芭蕾腿位置,
21331537,ballet leg position,芭蕾腿位置,
21331538,ballistic stretch,彈震式伸展,
21331539,banana kick,香蕉球踢法,
21331540,bandage,綳帶,
21331541,bandages,拳擊繃帶,
21331542,bangtail,比賽用馬,
21331543,bank dash,彎道衝刺,
21331544,bank shot,擦板球,
21331545,banked,傾斜的,
21331546,banks,堤防,
21331547,bar,槓軸,
21331548,bar bit,小勒銜,
21331549,barbell,槓鈴,
21331550,bare foot,赤腳,
21331551,bare torso,裸露軀幹,
21331552,barn door,開門,
21331553,base,壘包；底座,
21331554,base coach,跑壘指導員,
21331555,base on balls,四壞球上壘,
21331556,base running,跑壘,
21331557,base steal,盜壘,
21331558,baseball for the blind,盲人棒球,
21331559,baseball triple crown,棒球三冠王,
21331560,Baseball World Cup,世界盃棒球賽,
21331561,baseline,底線,
21331562,baseline player,後衛（軟式網球）,
21331563,baseplate,底座{滑板},
21331564,baserunner ,跑壘者,
21331565,basic physical ability,基本體能,
21331566,basic positions,基本位置,
21331567,bat,球棒,
21331568,baton,接力棒,
21331569,baton exchange,傳接棒,
21331570,battens,帆骨,
21331571,batter,擊球員,
21331572,batting average{=AVG},打擊率,
21331573,batting order,打擊順序,
21331574,battle,尬舞,
21331575,battle of the parallel bars,雙槓之爭,
21331576,baulk line,攻擊線,
21331577,beach dig,沙灘式防守擊球,
21331578,beach handball,沙灘手球,
21331579,beach rugby,沙灘橄欖球,
21331580,beach volleyball,沙灘排球,
21331581,bear away,順風偏轉,
21331582,beat,敲劍,
21331583,beat in octave,八分位姿勢襲打,
21331584,beat in prime,一分位姿勢襲打,
21331585,beat in quarte,四分位姿勢襲打,
21331586,beat in quinte,五分位姿勢襲打,
21331587,beat in septime,七分位姿勢襲打,
21331588,beat in sixte,六分位姿勢襲打,
21331589,beat in tierce,三分位姿勢襲打,
21331590,beat parrty,擊打防守,
21331591,beat second,二分位姿勢襲打,
21331592,beating,迎風航行區,
21331593,before the race,競賽前,
21331594,before the start,起航前,
21331595,belay,確保,
21331596,belay device,確保器,
21331597,belayer,確保者,
21331598,bell,搖鈴,
21331599,belonged to dance,以舞相屬,
21331600,bench depth,板凳深度,
21331601,bench player,替補球員,
21331602,bend,彎道,
21331603,beneficial effect of exercise,健身運動的效益,
21331604,benefits of leisure,休閒效益,
21331605,best of five,五盤三勝制,
21331606,best of three,三盤兩勝制,
21331607,best young rider classification,最佳青年選手排名,
21331608,beta,攀登路線資訊,
21331609,beta-hydroxy beta-methylbutyrate monohydrate {= HMB},β-羥基-β-甲基丁酸,
21331610,bib,護頸,
21331611,biceps brachii,肱二頭肌,
21331612,bicycle  racing,自行車競賽,
21331613,bicycle drive,自行車傳動裝置,
21331614,bicycle frame,車架,
21331615,bicycle motocross{=BMX},小輪車,
21331616,bicycle paced race ,自行車爭先賽,
21331617,bicycle pedal ,自行車腳蹬,
21331618,bicycle pump,自行車打氣筒,
21331619,bicycle saddle,自行車鞍座,
21331620,big wall,大岩壁,
21331621,bigspin,大旋轉(滑板),
21331622,bike motocros{=BMX},小輪車,
21331623,bike shoes,車鞋,
21331624,bind ,車輪被異物堵塞無法轉動,
21331625,biner,鉤環,
21331626,birdie,柏蒂；低於標準桿一桿,
21331627,bit,口銜,
21331628,bit and bit,交接區,
21331629,black card,星牌,
21331630,black flag rule,黑旗規則,
21331631,blackboard,戰術盤,
21331632,blackboard man,白板裁判,
21331633,blade,冰鞋刀,
21331634,blade position,劍身位置,
21331635,blemish,淘汰,
21331636,blinder,遮眼罩,
21331637,blisters,起水泡,
21331638,block,推擋球（桌球）；攔網（排球）；阻擋（籃球）,
21331639,block shot,封阻；火鍋（籃球）,
21331640,block tackle,阻擋搶球,
21331641,blocked shot,封擋,
21331642,blocking ,封球 ,
21331643,blocking fault,攔網犯規,
21331644,blood doping,違規輸血,
21331645,bloodstoct,純種馬,
21331646,blow,刺劈,
21331647,blue band,藍帶區(自行車),
21331648,blue bandsshall,藍帶區,
21331649,blue corner,藍角選手,
21331650,blue line ,藍線,
21331651,BMXfreestyle,自由式花式,
21331652,BMXracing,小輪車競速賽,
21331653,board,衝浪板,
21331654,board-carom pass,碰牆反彈球,
21331655,boarding,撞擊,
21331656,boat control,艇檢,
21331657,boat holder,扶船員,
21331658,boat house,艇庫；船庫,
21331659,boat line,繫船繩,
21331660,body attacking,中端攻擊,
21331661,body awareness,身體覺知,
21331662,body blocking,中端防禦,
21331663,body cord,身上帶的導線,
21331664,body dificulty{=BD},身體難度,
21331665,body esteem,身體自尊,
21331666,body image,身體意象,
21331667,body mass index {= BMI},身體質量指數,
21331668,body type selection,體型選材,
21331669,body waves,身體波浪,
21331670,body wire,身上帶的導線,
21331671,bodyweight categories,體重級別,
21331672,bogey,柏忌,
21331673,boggy,高於標準桿一桿,
21331674,boll,球（草地曲棍球）,
21331675,bomber,把手點:固定點,
21331676,boned,向前推板指向下方,
21331677,boneless,在空中前腳離板手抓板，再踩板放手,
21331678,bonus line,得分線,
21331679,boom,帆桿,
21331680,boot,膠鞋,
21331681,border climbing ,騎上邊緣,
21331682,bottom up,由下而上,
21331683,boulder,抱石,
21331684,bounce pass,跳傳,
21331685,bounces,拍球,
21331686,boundary,邊界,
21331687,bout ,擊劍比賽,
21331688,bout for one hit,刺(劈)一劍的比賽,
21331689,bout jury,裁判總稱,
21331690,bout of five touches,刺(劈)五劍的比賽,
21331691,bout of one touch,刺(劈)一劍的比賽,
21331692,bow sight,瞄準器（射箭）,
21331693,bow tuning,調弓,
21331694,bowling,保齡球,
21331695,bowling shoes,保齡球鞋,
21331696,bowling style,球路,
21331697,box,開始比賽(拳擊),
21331698,box out,卡位籃板,
21331699,boxing coach mitt,拳擊教練靶,
21331700,boxing competition uniform,拳擊比賽服裝,
21331701,boxing gloves,拳擊手套,
21331702,boxing ring,拳擊台,
21331703,boxing robe,拳擊袍,
21331704,boxing shoes,拳擊鞋,
21331705,boxing skipping rope,拳擊跳繩,
21331706,brace height,主弦距（射箭）,
21331707,bracer ,保護套,
21331708,brachial plexus injury,臂神經叢傷害,
21331709,brake,煞車,
21331710,brake cone,制動錐體,
21331711,brand,烙印,
21331712,brand marketing,品牌行銷,
21331713,brassy,二號木桿,
21331714,breach of contract,違約,
21331715,break ,擺脫 ,
21331716,break even analysis,損益平衡分析,
21331717,break point,轉折點,
21331718,breakaway  ,擺脫,
21331719,breakaway  rider ,擺脫車陣的運動員,
21331720,breaking ball,變化球,
21331721,breakwater,防浪堤,
21331722,breast protector,女用護胸,
21331723,breaststroke,蛙式,
21331724,breeder,飼養員,
21331725,breeding farm,養馬場,
21331726,broad reach,後側航行區,
21331727,broken  stone road,碎石路,
21331728,bronc-buster,馴馬師,
21331729,bronc-busting,馴馬,
21331730,bronc-peeler,調教師,
21331731,bronze level events,銅牌級賽事,
21331732,brush jump,場內障礙賽,
21331733,brush shot,刷球,
21331734,brutality ,粗暴行為 ,
21331735,building stance,調整站位（高爾夫）,
21331736,bulkhead,分隔牆,
21331737,bull-pen,牛棚,
21331738,bully,爭球;開球（曲棍球）,
21331739,bumping,衝撞,
21331740,bumpy road ,崎嶇不平的路,
21331741,bunch ,集團(自由車),
21331742,bunch events,集團項目,
21331743,bunch finish,成群到達,
21331744,bunker,人工障礙的坑窪,
21331745,bunt,短打,
21331746,buoy,浮球,
21331747,buoyancy,浮力裝置,
21331748,bureaucracy,官僚體制,
21331749,butt,突劍,
21331750,butt-ending,桿尾擊人,
21331751,butterfly,蝴蝶(冰球),
21331752,butterfly save,脛膝擋球,
21331753,buttock,臀,
21331754,button of horse,馬身,
21331755,buzzer beater,零秒出手,
21331756,byways  ,小路,
21331757,cable guard,弓弦減震器,
21331758,caddie,桿弟,
21331759,cage,護籠,
21331760,calculator judge,編排裁判,
21331761,call room,檢錄處,
21331762,call room judge,檢錄裁判,
21331763,call-room,檢錄室,
21331764,canadian-pair,雙人划艇,
21331765,canadian-single,單人划艇,
21331766,canoe numbers,航道牌,
21331767,canoeing,獨木舟賽事,
21331768,cant,口號,
21331769,cantonese,球瓶(保齡球),
21331770,cap,帽子,
21331771,capitalism,資本主義,
21331772,Capoeira reverse 1/2 twist airborne to push up,卡波耶拉反轉180度成屈臂捬撐,
21331773,capsize,翻覆,
21331774,capsized,翻船,
21331775,carbo-loading,醣原負荷法,
21331776,carbon fibre pole,碳纖維竿,
21331777,card  ,記分卡,
21331778,cardiac output,心輸出量,
21331779,cardiorespiratory fitness,心肺適能,
21331780,careless ,動作拙劣,
21331781,carnosine,肌肽,
21331782,cart  ,球車,
21331783,carving,雕刻(滑板動作),
21331784,cat leap,貓跳,
21331785,catamaran,雙體船,
21331786,catastrophe model,大災難模式,
21331787,catch,防守得分；抓取{在空中用腳抓取滑板},
21331788,catcher,捕手,
21331789,catcher's box,捕手區,
21331790,caution ,黃牌警告 ,
21331791,cautions play,保守打法,
21331792,cavation,掏刺,
21331793,cave,掏刺,
21331794,ceding parry,後拉防守,
21331795,center,中鋒（籃球）,
21331796,center ball,中線球（網球）,
21331797,center fielder ,中外野手,
21331798,center fire pistol,中火手槍,
21331799,center line,中心線{冰壺},
21331800,center referee,中央裁判,
21331801,centerboard,穩向板,
21331802,centerman,中鋒  ,
21331803,centreboard,中央板,
21331804,chain drive,鏈條傳動裝置,
21331805,chalk,白土；碳酸鎂粉:止滑粉,
21331806,challenge ,爭奪；爭球,
21331807,challenge cards,挑戰卡,
21331808,challnge,挑引,
21331809,Champions Swim Series,游泳冠軍系列賽,
21331810,change beat,轉換交叉襲打,
21331811,change course,改變航線,
21331812,change of court,交換場地,
21331813,change of place,交換場地,
21331814,change parry,變換防守,
21331815,change service,交換發球權,
21331816,change sides,換場區,
21331817,change stop hit,變換交叉反攻,
21331818,change the leg,改換步伐,
21331819,changing the next leg,更改下一站,
21331820,characteristics of play,遊戲特徵,
21331821,charge,衝撞對方球員,
21331822,charging,衝撞對方,
21331823,chart,賽馬成績表,
21331824,chase ,追趕,
21331825,check,驗車(自由車),
21331826,check mark,步點,
21331827,checking,阻礙,
21331828,checklist for technical delegate,技術代表檢核表,
21331829,cheek ,臉部兩側,
21331830,cheek cut,劈護面,
21331831,chest cut,劈胸部,
21331832,chief judge,裁判長（田徑）,
21331833,chief marshal,場控主任,
21331834,chief of equipment control,裝備檢察長,
21331835,chief race official,裁判長,
21331836,chief range officer,靶場裁判長,
21331837,chief referee,裁判長,
21331838,chief RTS,評分室首席官員,
21331839,chief track judge,競賽裁判長,
21331840,chin straps,下巴帶,
21331841,Chinese Gymnastics School,中國體操學校,
21331842,Chinese Professional Baseball League  {= CPBL},中華職業棒球大聯盟,
21331843,Chinese Taipei Amateur Boxing Association,中華民國拳擊協會,
21331844,Chinese Taipei Basketball Association  {= CTBA},中華民國籃球協會,
21331845,Chinese Taipei Bowling Association {=CTBA},中華民國保齡球協會,
21331846,Chinese Taipei Cycling Association,中華民國自行車協會,
21331847,Chinese Taipei Gymnastics Association,中華民國體操協會,
21331848,Chinese Taipei Handball Association,中華民國手球協會,
21331849,Chinese Taipei Hockey Association,中華民國曲棍球協會,
21331850,Chinese Taipei Ice Hockey Federation,中華民國冰球協會,
21331851,Chinese Taipei Modern Pentathlon Association{=CTMPA},中華民國現代五項運動協會,
21331852,Chinese Taipei Olympic Committee  {= CTOC},中華奧林匹克委員會,
21331853,Chinese Taipei Roller Sports Federation{=CTRSF},中華民國滑輪溜冰協會,
21331854,Chinese Taipei Sailing Association,中華民國帆船協會,
21331855,Chinese Taipei School Sport Federation  {= CTSSF},中華民國高級中等學校體育總會,
21331856,Chinese Taipei Sepaktakraw Federation  {= CTSTF},中華民國藤球協會,
21331857,Chinese Taipei Soft Tennis Association  {= CTSTA},中華民國軟式網球協會,
21331858,Chinese Taipei Swimming Association{=CTSA},中華民國游泳協會,
21331859,Chinese Taipei Taekwondo Association,中華民國跆拳道協會,
21331860,Chinese Taipei Triathlon Association{=CTTA},中華民國鐵人三項運動協會,
21331861,Chinese Taipei University Sports Federation  {= CTUSF},中華民國大專院校體育總會,
21331862,Chinese Taipei Volleyball Association  {= CTVBA},中華民國排球協會,
21331863,Chinse Taipei Kabaddi Federation  {= CTKF},中華民國卡巴迪運動協會,
21331864,chip  ,起撲球,
21331865,choking,壓力下失常,
21331866,chop,削球,
21331867,chopping style,削球打法,
21331868,choreography,編舞；編排,
21331869,Chung-Cheng Sports Medal Reward,中正體育獎章,
21331870,cinch,馬肚帶,
21331871,cinder track ,煤渣跑道,
21331872,circle,轉圈,
21331873,circle in cross support on 1 pommel,單環併腿全旋,
21331874,circuit training,循環訓練,
21331875,citizenship,公民身分,
21331876,civil society,公民社會,
21331877,civilization,文明,
21331878,class,階級,
21331879,class 1,一級賽事,
21331880,class 2,二級賽事,
21331881,class A jumps,A級跳躍,
21331882,class A spins,A級旋轉,
21331883,class B jumps,B級跳躍,
21331884,class B spins,B級旋轉,
21331885,class C jumps,C級跳躍,
21331886,classic position,高手姿勢,
21331887,classical ballet,古典芭蕾,
21331888,classical dances,古典舞,
21331889,classical seat,古典騎坐姿勢,
21331890,classroom ecology,課室生態,
21331891,clay court,紅土球場,
21331892,clay target ,泥盤,
21331893,clean,上博,
21331894,clean and jerk,挺舉,
21331895,clean game,不破之局 ,
21331896,clear ,拉開 ,
21331897,clear ahead,明顯在前,
21331898,clear chance of scoring,顯然得分機會,
21331899,clear hip circle,浮撐迴環,
21331900,clear the course,清理航道,
21331901,clearance action,過竿動作；過欄動作,
21331902,clearance kick,大腳解危,
21331903,cleek,五號木桿,
21331904,clerk of the course,檢錄員,
21331905,clerks of course,檢錄員,
21331906,clew,帆後角,
21331907,clicker,夾箭片,
21331908,climbing shoes,攀登鞋,
21331909,clinch,僵持不下,
21331910,clip-in,掛繩,
21331911,clip-on handlebars,夾式車把,
21331912,clipper,快馬,
21331913,close combat,近戰,
21331914,close in,故意衝撞,
21331915,close table,近檯,
21331916,close the line,禁閉擊劍線,
21331917,closed line,禁閉的擊劍線,
21331918,closed stance,閉鎖式站姿（網球）,
