ID,英文詞彙,中文詞彙,更新日期
21368553,post-election thank-you to voters,謝票,
21368554,free outdoor banquet for voters,流水席,
21368555,"anonymous smear (letter, leaflet, etc.)",黑函,
21368556,kingmaker,造王者,
21368557,abandonment effect of a failing candidate,破盤效應,
21368558,phantom voters,幽靈人口,
21368559,vote-buying to guarantee a win,包票,
21368560,replace an unpopular candidate,換柱,
21368561,gangster involvement,黑道介入,
21368562,banking on a candidate;betting on a candidate,押寶,
21368563,flag war,旗幟大戰,
21368564,temple rally speech,廟口開講,
21368565,gaining media awareness;gaining media attention,媒體暖身,
21368566,event hopping,跑攤,
21368567,mobilization order,動員令,
21368568,voter fatigue,投票倦怠,
21368569,ballot stuffing,灌票,
21368570,big-spending campaign,撒錢選舉,
21368571,"election ""red envelope""",選舉紅包,
21368572,clan bloc voting;kinship bloc voting,家族票,
21368573,family sentiment card,親情牌,
21368574,"political ""ATM""",政治提款機,
21368575,cheer squad,掌聲部隊,
21368576,fan support club,粉絲後援會,
21368577,<em>Night Raid</em>,夜襲,
21368578,political high-stakes gamble,政治豪賭,
21368579,chicks protecting the hen,小雞護母雞,
21368580,drawing shame overseas;losing face internationally,丟臉丟到國外,
21368581,paving the way,鋪路,
21368582,facing a tough reelection battle,職位保衛戰,
21368583,bloc voting,團進團出,
21368584,up-and-coming candidate;promising candidate,潛力股,
21368585,close-quarters combat,短兵衝突,
21368586,spreading rumors,散布謠言,
21368587,mudslinging;smearing,抹黑,
21368588,sexual smearing,抹黃,
21368589,exposing a scandal,醜聞爆料,
21368590,walkover;uncontested election,同額競選,
21368591,community mobilizer (for a certain candidate);staunch local canvasser (for a certain candidate),樁腳,
21368592,endorsement (speech),站台,
21368593,nine-in-one election(s),九合一選舉,
21368594,(reluctant) tactical voting,含淚投票,
21368595,drumming up votes,催票,
21368596,securing a community mobilizer,綁樁,
21368597,poaching a community mobilizer,拔樁,
21368598,bribery by promise of future benefit,期約賄選,
21368599,ballot flashing,亮票,
21368600,bounced check;undelivered vote,芭樂票,
21368601,election subsidy,選舉補助款,
